food_name,serving_unit,serving_unit_label,serving_weight_g,calories,carbohydrate,protein,fat,is_active
동그랑땡,반찬그릇,1,70,144,5.9,9.2,9.3,TRUE
햄부침,반찬그릇,1,70,170,7.9,7.9,12,TRUE
육전,인분,1,100,195,13.8,13.6,9.2,TRUE
감자전,반찬그릇,1,70,92,11.8,1.2,4.6,TRUE
고추전,반찬그릇,1,70,127,7.9,6,8,TRUE
김치전,반찬그릇,1,70,93,13.3,3.5,2.9,TRUE
깻잎전,반찬그릇,1,70,168,6.8,8.3,12,TRUE
녹두빈대떡,반찬그릇,1,60,124,12.6,4.8,6.2,TRUE
미나리전,반찬그릇,1,70,105,16,2.4,3.6,TRUE
배추전,반찬그릇,1,70,112,16.6,2.4,4,TRUE
버섯전,반찬그릇,1,70,112,7.6,4.9,6.9,TRUE
부추전,반찬그릇,1,70,117,19.5,3.2,2.9,TRUE
야채전,반찬그릇,1,70,118,15.5,3.1,4.9,TRUE
파전,반찬그릇,1,70,136,16.2,3.2,6.5,TRUE
호박부침개,반찬그릇,1,70,90,7.1,2.7,5.7,TRUE
호박전,개,1,50,69,5.4,2.2,4.4,TRUE
달걀말이,반찬그릇,1,80,154,1.2,13.8,10.6,TRUE
두부부침,반찬그릇,1,75,104,1.6,8.2,7.3,TRUE
두부전,반찬그릇,1,70,118,3.5,9.5,7.4,TRUE
건새우볶음,반찬그릇,1,20,60,2.3,8.3,2.6,TRUE
낙지볶음,인분,1,200,182,21.4,11.5,7.5,TRUE
멸치볶음,반찬그릇,1,50,138,10.9,19.7,3.5,TRUE
어묵볶음,반찬그릇,1,50,98,12.2,4.2,3.6,TRUE
오징어볶음,인분,1,200,255,14.9,19.7,13,TRUE
오징어채볶음,반찬그릇,1,20,57,6.2,3.9,1.9,TRUE
주꾸미볶음,인분,1,200,211,22.8,18.3,5.2,TRUE
해물볶음,인분,1,400,419,32.2,38.2,15.3,TRUE
감자볶음,반찬그릇,1,70,70,8.7,1.2,3.4,TRUE
김치볶음,반찬그릇,1,40,42,3.1,0.6,3.2,TRUE
깻잎나물볶음,반찬그릇,1,50,51,2.9,1.9,3.6,TRUE
느타리버섯볶음,반찬그릇,1,50,47,4.3,1.4,3.1,TRUE
두부김치,인분,1,250,288,14.1,19.5,17.1,TRUE
머위나물볶음,반찬그릇,1,30,21,1.5,0.7,1.4,TRUE
양송이버섯볶음,반찬그릇,1,50,45,3.7,1.5,2.8,TRUE
표고버섯볶음,반찬그릇,1,50,47,5.3,1.5,2.2,TRUE
고추잡채,인분,1,150,192,19.6,8.2,9,TRUE
호박볶음,그릇,1,300,184,32.2,4.7,4.2,TRUE
돼지고기볶음,반찬그릇,1,75,131,6.8,8.6,7.7,TRUE
돼지껍데기볶음,인분,1,150,352,24.5,25.8,16.7,TRUE
소세지볶음,인분,1,200,515,30.3,21.3,34.3,TRUE
순대볶음,인분,1,400,582,76.7,20.7,21.3,TRUE
오리불고기,인분,1,250,361,24.8,16.9,22.6,TRUE
오삼불고기,인분,1,200,363,20.5,25.6,19.9,TRUE
떡볶이,인분,1,200,295,56.2,7.3,4.7,TRUE
라볶이,인분,1,200,268,40.3,5.7,9.4,TRUE
마파두부,인분,1,250,278,13.5,18.6,16.7,TRUE
가자미조림,마리,1,300,297,21.5,37.1,7.1,TRUE
갈치조림,토막,1,60,60,5.4,7.6,1.7,TRUE
고등어조림,인분,1,150,210,8.8,16.9,13.3,TRUE
꽁치조림,마리,1,150,364,11.4,23.3,26.8,TRUE
동태조림,마리,1,260,287,18.1,42.4,4.9,TRUE
북어조림,마리,1,200,362,34.3,41.7,6.7,TRUE
조기조림,마리,1,300,384,12.8,41.1,18.8,TRUE
코다리조림,팩,1,647,735,102,66,13,TRUE
달걀장조림,반찬그릇,1,60,82,5.2,5.9,4.3,TRUE
메추리알장조림,인분,1,70,141,4.4,10,9.4,TRUE
돼지고기메추리알장조림,반찬그릇,1,90,113,6.1,15,3.3,TRUE
소고기메추리알장조림,반찬그릇,1,90,108,5.2,14.7,3.3,TRUE
고추조림,반찬그릇,1,40,44,5.4,1.3,2,TRUE
감자조림,반찬그릇,1,40,44,7.2,1,1.4,TRUE
우엉조림,반찬그릇,1,40,74,13.9,1.9,1.3,TRUE
알감자조림,반찬그릇,1,40,44,7.2,1,1.4,TRUE
(검은)콩조림,회분,1,200,556,67,28,19.5,TRUE
콩조림,인분,1,30,84,10.4,5.4,2.3,TRUE
두부고추장조림,인분,1,50,71,2.2,4.8,4.8,TRUE
땅콩조림,반찬그릇,1,20,96,4,3.8,7.3,TRUE
미꾸라지튀김,인분,1,200,774,57.7,21.8,50.8,TRUE
새우튀김,인분,1,150,430,28.4,25.5,23.8,TRUE
생선가스,회분,1,240,389,58,36,1.7,TRUE
쥐포튀김,반찬그릇,1,50,178,21.2,4.8,8.2,TRUE
오징어튀김,개,1,40,129,9.3,4.9,8,TRUE
닭강정,인분,1,300,675,67.6,35.5,29.2,TRUE
닭튀김,인분,1,300,903,48.8,65.2,49.7,TRUE
돈가스,인분,1,200,623,38.5,33,37.5,TRUE
모래집튀김,인분,1,150,468,29.1,28.1,26.6,TRUE
양념치킨,마리,0.5,500,1380,105.8,88.8,67,TRUE
치즈돈가스,인분,1,200,623,38.5,33,37.5,TRUE
치킨가스,회분,1,240,280,40,21,4.2,TRUE
탕수육,반찬그릇,1,150,305,28.7,16.7,13.8,TRUE
깐풍기,인분,1,150,393,27.9,19.3,22.7,TRUE
감자튀김,인분,1,70,217,24.6,3.2,11.9,TRUE
고구마맛탕,인분,1,200,491,94.6,3.3,11,TRUE
고구마튀김,개,1,25,63,8.4,0.7,3,TRUE
고추튀김,개,1,35,70,5.1,2.7,4.4,TRUE
김말이튀김,개,1,35,89,10.3,0.8,5,TRUE
채소튀김,개,1,40,145,14.9,1.4,8.9,TRUE
노각무침,반찬그릇,1,50,28,4.8,0.9,0.6,TRUE
단무지무침,반찬그릇,1,40,16,2.2,0.4,0.6,TRUE
달래나물무침,반찬그릇,1,50,45,7.9,1.3,0.9,TRUE
더덕무침,반찬그릇,1,50,72,14.5,1.4,0.9,TRUE
도라지생채,반찬그릇,1,50,38,8.1,1,0.3,TRUE
도토리묵,인분,1,200,92,21.6,0.6,0.4,TRUE
마늘쫑무침,반찬그릇,1,30,31,4,0.8,1.5,TRUE
무생채,반찬그릇,1,50,24,3.7,1.2,0.6,TRUE
무말랭이,인분,1,20,25,5.2,0.6,0.2,TRUE
오이생채,인분,1,50,34,4.9,0.9,1.4,TRUE
파무침,반찬그릇,1,30,21,3.5,0.7,0.8,TRUE
상추겉절이,반찬그릇,1,30,18,1.9,0.7,1,TRUE
쑥갓나물무침,반찬그릇,1,50,32,2.2,1.5,1.9,TRUE
청포묵무침,반찬그릇,1,80,47,7.3,0.9,1.7,TRUE
해파리냉채,반찬그릇,1,50,30,4.5,2.1,0.5,TRUE
가지나물,반찬그릇,1,50,17,2.5,0.7,0.8,TRUE
고사리나물,반찬그릇,1,50,44,3.1,1.9,2.8,TRUE
도라지나물,반찬그릇,1,50,65,6.6,1.2,3.8,TRUE
무나물,반찬그릇,1,50,10,2.5,0.3,0.2,TRUE
미나리나물,반찬그릇,1,50,29,2.2,1,1.8,TRUE
숙주나물,반찬그릇,1,50,17,1.6,1.1,0.8,TRUE
시금치나물,반찬그릇,1,95,64,6.9,3.1,3.5,TRUE
취나물,반찬그릇,1,50,74,3.3,1.4,6.2,TRUE
콩나물,반찬그릇,1,30,20,1,1.2,1.4,TRUE
고구마줄기나물,반찬그릇,1,50,41,2,0.5,3.5,TRUE
우거지나물무침,반찬그릇,1,30,25,2,0.9,1.7,TRUE
골뱅이무침,인분,1,250,270,39.2,17.7,4.9,TRUE
김무침,반찬그릇,1,30,77,7,6.3,3.2,TRUE
미역초무침,반찬그릇,1,50,17,2.6,0.6,0.5,TRUE
북어채무침,반찬그릇,1,50,94,6,14.2,1.5,TRUE
회무침,반찬그릇,1,80,64,6.9,6.5,1.3,TRUE
쥐치채,인분,1,20,55,10.9,2.8,0.1,TRUE
파래무침,반찬그릇,1,30,14,1.6,1.1,0.5,TRUE
홍어무침,인분,1,200,198,25.9,17.9,2.6,TRUE
골뱅이국수무침,인분,1,230,250,43.5,11.5,3.4,TRUE
오징어무침,인분,1,200,254,22.5,39.5,4.9,TRUE
잡채,인분,1,200,291,48.5,9.4,6.6,TRUE
탕평채,반찬그릇,1,150,145,18.4,5.3,5.7,TRUE
갓김치,반찬그릇,1,40,15,2.4,1.2,0.3,TRUE
고들빼기,반찬그릇,1,40,36,6,1.4,0.7,TRUE
깍두기,반찬그릇,1,50,18,3.7,0.7,0.3,TRUE
깻잎김치,반찬그릇,1,40,24,3.6,1.1,0.7,TRUE
나박김치,그릇,1,200,16,3,0.8,0.5,TRUE
동치미,그릇,1,200,21,4,0.6,0.4,TRUE
배추겉절이,반찬그릇,1,30,16,2,0.7,0.6,TRUE
배추김치,반찬그릇,1,40,14,2.8,0.8,0.2,TRUE
백김치,반찬그릇,1,40,6,1.1,0.4,0.1,TRUE
부추김치,반찬그릇,1,50,23,3.9,1.3,0.6,TRUE
열무김치,반찬그릇,1,40,10,1.1,0.7,0.5,TRUE
열무얼갈이김치,반찬그릇,1,50,17,2.6,1.1,0.3,TRUE
오이소박이,반찬그릇,1,60,22,4,1.1,0.2,TRUE
총각김치,반찬그릇,1,70,25,4.5,1.2,0.3,TRUE
파김치,반찬그릇,1,25,12,1.7,0.6,0.3,TRUE
간장게장,인분,1,250,155,15.1,17.6,2.8,TRUE
마늘쫑장아찌,반찬그릇,1,50,30,5.5,1,0.5,TRUE
고추장아찌,인분,1,60,61,13.7,1.3,0.8,TRUE
깻잎장아찌,반찬그릇,1,20,20,3.1,0.4,0.7,TRUE
마늘장아찌,반찬그릇,1,20,12,1.5,0.5,1,TRUE
무장아찌,반찬그릇,1,30,23,5,0.4,0.2,TRUE
양념게장,인분,1,250,241,33.7,25.6,1.5,TRUE
양파장아찌,반찬그릇,1,50,41,9.3,1.1,0.2,TRUE
